,Date,Stage,Team,Home Goals,Result,Team Against,Goals Against,Win Conditions,Tournament
1,1872-11-30,Friendly,Scotland,0,Draw,England,0,normal ending,International Matches
2,1872-11-30,Friendly,England,0,Draw,Scotland,0,normal ending,International Matches
5,1873-03-08,Friendly,England,4,Win,Scotland,2,normal ending,International Matches
6,1873-03-08,Friendly,Scotland,2,Loss,England,4,normal ending,International Matches
9,1874-03-07,Friendly,Scotland,2,Win,England,1,normal ending,International Matches
10,1874-03-07,Friendly,England,1,Loss,Scotland,2,normal ending,International Matches
13,1875-03-06,Friendly,England,2,Draw,Scotland,2,normal ending,International Matches
14,1875-03-06,Friendly,Scotland,2,Draw,England,2,normal ending,International Matches
17,1876-03-04,Friendly,Scotland,3,Win,England,0,normal ending,International Matches
18,1876-03-04,Friendly,England,0,Loss,Scotland,3,normal ending,International Matches
21,1876-03-25,Friendly,Scotland,4,Win,Wales,0,normal ending,International Matches
22,1876-03-25,Friendly,Wales,0,Loss,Scotland,4,normal ending,International Matches
25,1877-03-03,Friendly,England,1,Loss,Scotland,3,normal ending,International Matches
26,1877-03-03,Friendly,Scotland,3,Win,England,1,normal ending,International Matches
29,1877-03-05,Friendly,Wales,0,Loss,Scotland,2,normal ending,International Matches
30,1877-03-05,Friendly,Scotland,2,Win,Wales,0,normal ending,International Matches
33,1878-03-02,Friendly,Scotland,7,Win,England,2,normal ending,International Matches
34,1878-03-02,Friendly,England,2,Loss,Scotland,7,normal ending,International Matches
37,1878-03-23,Friendly,Scotland,9,Win,Wales,0,normal ending,International Matches
38,1878-03-23,Friendly,Wales,0,Loss,Scotland,9,normal ending,International Matches
41,1879-01-18,Friendly,England,2,Win,Wales,1,normal ending,International Matches
42,1879-01-18,Friendly,Wales,1,Loss,England,2,normal ending,International Matches
45,1879-04-05,Friendly,England,5,Win,Scotland,4,normal ending,International Matches
46,1879-04-05,Friendly,Scotland,4,Loss,England,5,normal ending,International Matches
49,1879-04-07,Friendly,Wales,0,Loss,Scotland,3,normal ending,International Matches
50,1879-04-07,Friendly,Scotland,3,Win,Wales,0,normal ending,International Matches
53,1880-03-13,Friendly,Scotland,5,Win,England,4,normal ending,International Matches
54,1880-03-13,Friendly,England,4,Loss,Scotland,5,normal ending,International Matches
57,1880-03-15,Friendly,Wales,2,Loss,England,3,normal ending,International Matches
58,1880-03-15,Friendly,England,3,Win,Wales,2,normal ending,International Matches
61,1880-03-27,Friendly,Scotland,5,Win,Wales,1,normal ending,International Matches
62,1880-03-27,Friendly,Wales,1,Loss,Scotland,5,normal ending,International Matches
65,1881-02-26,Friendly,England,0,Loss,Wales,1,normal ending,International Matches
66,1881-02-26,Friendly,Wales,1,Win,England,0,normal ending,International Matches
69,1881-03-12,Friendly,England,1,Loss,Scotland,6,normal ending,International Matches
70,1881-03-12,Friendly,Scotland,6,Win,England,1,normal ending,International Matches
73,1881-03-14,Friendly,Wales,1,Loss,Scotland,5,normal ending,International Matches
74,1881-03-14,Friendly,Scotland,5,Win,Wales,1,normal ending,International Matches
77,1882-02-18,Friendly,Northern Ireland,0,Loss,England,13,normal ending,International Matches
78,1882-02-18,Friendly,England,13,Win,Northern Ireland,0,normal ending,International Matches
81,1882-02-25,Friendly,Wales,7,Win,Northern Ireland,1,normal ending,International Matches
82,1882-02-25,Friendly,Northern Ireland,1,Loss,Wales,7,normal ending,International Matches
85,1882-03-11,Friendly,Scotland,5,Win,England,1,normal ending,International Matches
86,1882-03-11,Friendly,England,1,Loss,Scotland,5,normal ending,International Matches
89,1882-03-13,Friendly,Wales,5,Win,England,3,normal ending,International Matches
90,1882-03-13,Friendly,England,3,Loss,Wales,5,normal ending,International Matches
93,1882-03-25,Friendly,Scotland,5,Win,Wales,0,normal ending,International Matches
94,1882-03-25,Friendly,Wales,0,Loss,Scotland,5,normal ending,International Matches
97,1883-02-03,Friendly,England,5,Win,Wales,0,normal ending,International Matches
98,1883-02-03,Friendly,Wales,0,Loss,England,5,normal ending,International Matches
101,1883-02-24,Friendly,England,7,Win,Northern Ireland,0,normal ending,International Matches
102,1883-02-24,Friendly,Northern Ireland,0,Loss,England,7,normal ending,International Matches
105,1883-03-10,Friendly,England,2,Loss,Scotland,3,normal ending,International Matches
106,1883-03-10,Friendly,Scotland,3,Win,England,2,normal ending,International Matches
109,1883-03-12,Friendly,Wales,0,Loss,Scotland,3,normal ending,International Matches
110,1883-03-12,Friendly,Scotland,3,Win,Wales,0,normal ending,International Matches
113,1883-03-17,Friendly,Northern Ireland,1,Draw,Wales,1,normal ending,International Matches
114,1883-03-17,Friendly,Wales,1,Draw,Northern Ireland,1,normal ending,International Matches
117,1884-02-09,British Championship,Wales,6,Win,Northern Ireland,0,normal ending,International Matches
118,1884-02-09,British Championship,Northern Ireland,0,Loss,Wales,6,normal ending,International Matches
121,1884-02-23,British Championship,Northern Ireland,1,Loss,England,8,normal ending,International Matches
122,1884-02-23,British Championship,England,8,Win,Northern Ireland,1,normal ending,International Matches
125,1884-03-15,British Championship,Scotland,1,Win,England,0,normal ending,International Matches
126,1884-03-15,British Championship,England,0,Loss,Scotland,1,normal ending,International Matches
129,1884-03-17,British Championship,Wales,0,Loss,England,4,normal ending,International Matches
130,1884-03-17,British Championship,England,4,Win,Wales,0,normal ending,International Matches
133,1884-03-29,British Championship,Scotland,4,Win,Wales,1,normal ending,International Matches
134,1884-03-29,British Championship,Wales,1,Loss,Scotland,4,normal ending,International Matches
137,1885-02-28,British Championship,England,4,Win,Northern Ireland,0,normal ending,International Matches
138,1885-02-28,British Championship,Northern Ireland,0,Loss,England,4,normal ending,International Matches
141,1885-03-14,British Championship,England,1,Draw,Wales,1,normal ending,International Matches
142,1885-03-14,British Championship,Wales,1,Draw,England,1,normal ending,International Matches
145,1885-03-21,British Championship,England,1,Draw,Scotland,1,normal ending,International Matches
146,1885-03-21,British Championship,Scotland,1,Draw,England,1,normal ending,International Matches
149,1885-03-23,British Championship,Wales,1,Loss,Scotland,8,normal ending,International Matches
150,1885-03-23,British Championship,Scotland,8,Win,Wales,1,normal ending,International Matches
153,1885-04-11,British Championship,Northern Ireland,2,Loss,Wales,8,normal ending,International Matches
154,1885-04-11,British Championship,Wales,8,Win,Northern Ireland,2,normal ending,International Matches
157,1885-11-28,Friendly,United States,0,Loss,Canada,1,normal ending,International Matches
158,1885-11-28,Friendly,Canada,1,Win,United States,0,normal ending,International Matches
161,1886-02-27,British Championship,Wales,5,Win,Northern Ireland,0,normal ending,International Matches
162,1886-02-27,British Championship,Northern Ireland,0,Loss,Wales,5,normal ending,International Matches
165,1886-03-13,British Championship,Northern Ireland,1,Loss,England,6,normal ending,International Matches
166,1886-03-13,British Championship,England,6,Win,Northern Ireland,1,normal ending,International Matches
169,1886-03-27,British Championship,Scotland,1,Draw,England,1,normal ending,International Matches
170,1886-03-27,British Championship,England,1,Draw,Scotland,1,normal ending,International Matches
173,1886-03-29,British Championship,Wales,1,Loss,England,3,normal ending,International Matches
174,1886-03-29,British Championship,England,3,Win,Wales,1,normal ending,International Matches
177,1886-04-10,British Championship,Scotland,4,Win,Wales,1,normal ending,International Matches
178,1886-04-10,British Championship,Wales,1,Loss,Scotland,4,normal ending,International Matches
181,1886-11-25,Friendly,United States,3,Win,Canada,2,normal ending,International Matches
182,1886-11-25,Friendly,Canada,2,Loss,United States,3,normal ending,International Matches
185,1887-02-05,British Championship,England,7,Win,Northern Ireland,0,normal ending,International Matches
186,1887-02-05,British Championship,Northern Ireland,0,Loss,England,7,normal ending,International Matches
189,1887-02-26,British Championship,England,4,Win,Wales,0,normal ending,International Matches
190,1887-02-26,British Championship,Wales,0,Loss,England,4,normal ending,International Matches
193,1887-03-12,British Championship,Northern Ireland,4,Win,Wales,1,normal ending,International Matches
194,1887-03-12,British Championship,Wales,1,Loss,Northern Ireland,4,normal ending,International Matches
197,1887-03-19,British Championship,England,2,Loss,Scotland,3,normal ending,International Matches
198,1887-03-19,British Championship,Scotland,3,Win,England,2,normal ending,International Matches
201,1887-03-21,British Championship,Wales,0,Loss,Scotland,2,normal ending,International Matches
202,1887-03-21,British Championship,Scotland,2,Win,Wales,0,normal ending,International Matches
205,1888-02-04,British Championship,England,5,Win,Wales,1,normal ending,International Matches
206,1888-02-04,British Championship,Wales,1,Loss,England,5,normal ending,International Matches
209,1888-03-03,British Championship,Wales,11,Win,Northern Ireland,0,normal ending,International Matches
210,1888-03-03,British Championship,Northern Ireland,0,Loss,Wales,11,normal ending,International Matches
213,1888-03-10,British Championship,Scotland,5,Win,Wales,1,normal ending,International Matches
214,1888-03-10,British Championship,Wales,1,Loss,Scotland,5,normal ending,International Matches
217,1888-03-17,British Championship,Scotland,0,Loss,England,5,normal ending,International Matches
218,1888-03-17,British Championship,England,5,Win,Scotland,0,normal ending,International Matches
221,1888-04-07,British Championship,Northern Ireland,1,Loss,England,5,normal ending,International Matches
222,1888-04-07,British Championship,England,5,Win,Northern Ireland,1,normal ending,International Matches
225,1888-09-19,Friendly,Scotland,4,Win,Canada,0,normal ending,International Matches
226,1888-09-19,Friendly,Canada,0,Loss,Scotland,4,normal ending,International Matches
229,1889-02-23,British Championship,England,4,Win,Wales,1,normal ending,International Matches
230,1889-02-23,British Championship,Wales,1,Loss,England,4,normal ending,International Matches
233,1889-03-02,British Championship,England,6,Win,Northern Ireland,1,normal ending,International Matches
234,1889-03-02,British Championship,Northern Ireland,1,Loss,England,6,normal ending,International Matches
237,1889-04-13,British Championship,England,2,Loss,Scotland,3,normal ending,International Matches
