,Date,Stage,Team,Home Goals,Team Against,Against Goals,Result,Win Conditions,Host Team
1,1872-11-30,Friendly,Scotland,0,England,0,Draw,normal ending,True
2,1872-11-30,Friendly,England,0,Scotland,0,Draw,normal ending,True
5,1873-03-08,Friendly,England,4,Scotland,2,Win,normal ending,True
6,1873-03-08,Friendly,Scotland,2,England,4,Loss,normal ending,True
9,1874-03-07,Friendly,Scotland,2,England,1,Win,normal ending,True
10,1874-03-07,Friendly,England,1,Scotland,2,Loss,normal ending,True
13,1875-03-06,Friendly,England,2,Scotland,2,Draw,normal ending,True
14,1875-03-06,Friendly,Scotland,2,England,2,Draw,normal ending,True
17,1876-03-04,Friendly,Scotland,3,England,0,Win,normal ending,True
18,1876-03-04,Friendly,England,0,Scotland,3,Loss,normal ending,True
21,1876-03-25,Friendly,Scotland,4,Wales,0,Win,normal ending,True
22,1876-03-25,Friendly,Wales,0,Scotland,4,Loss,normal ending,True
25,1877-03-03,Friendly,England,1,Scotland,3,Loss,normal ending,True
26,1877-03-03,Friendly,Scotland,3,England,1,Win,normal ending,True
29,1877-03-05,Friendly,Wales,0,Scotland,2,Loss,normal ending,True
30,1877-03-05,Friendly,Scotland,2,Wales,0,Win,normal ending,True
33,1878-03-02,Friendly,Scotland,7,England,2,Win,normal ending,True
34,1878-03-02,Friendly,England,2,Scotland,7,Loss,normal ending,True
37,1878-03-23,Friendly,Scotland,9,Wales,0,Win,normal ending,True
38,1878-03-23,Friendly,Wales,0,Scotland,9,Loss,normal ending,True
41,1879-01-18,Friendly,England,2,Wales,1,Win,normal ending,True
42,1879-01-18,Friendly,Wales,1,England,2,Loss,normal ending,True
45,1879-04-05,Friendly,England,5,Scotland,4,Win,normal ending,True
46,1879-04-05,Friendly,Scotland,4,England,5,Loss,normal ending,True
49,1879-04-07,Friendly,Wales,0,Scotland,3,Loss,normal ending,True
50,1879-04-07,Friendly,Scotland,3,Wales,0,Win,normal ending,True
53,1880-03-13,Friendly,Scotland,5,England,4,Win,normal ending,True
54,1880-03-13,Friendly,England,4,Scotland,5,Loss,normal ending,True
57,1880-03-15,Friendly,Wales,2,England,3,Loss,normal ending,True
58,1880-03-15,Friendly,England,3,Wales,2,Win,normal ending,True
61,1880-03-27,Friendly,Scotland,5,Wales,1,Win,normal ending,True
62,1880-03-27,Friendly,Wales,1,Scotland,5,Loss,normal ending,True
65,1881-02-26,Friendly,England,0,Wales,1,Loss,normal ending,True
66,1881-02-26,Friendly,Wales,1,England,0,Win,normal ending,True
69,1881-03-12,Friendly,England,1,Scotland,6,Loss,normal ending,True
70,1881-03-12,Friendly,Scotland,6,England,1,Win,normal ending,True
73,1881-03-14,Friendly,Wales,1,Scotland,5,Loss,normal ending,True
74,1881-03-14,Friendly,Scotland,5,Wales,1,Win,normal ending,True
77,1882-02-18,Friendly,Northern Ireland,0,England,13,Loss,normal ending,True
78,1882-02-18,Friendly,England,13,Northern Ireland,0,Win,normal ending,True
81,1882-02-25,Friendly,Wales,7,Northern Ireland,1,Win,normal ending,True
82,1882-02-25,Friendly,Northern Ireland,1,Wales,7,Loss,normal ending,True
85,1882-03-11,Friendly,Scotland,5,England,1,Win,normal ending,True
86,1882-03-11,Friendly,England,1,Scotland,5,Loss,normal ending,True
89,1882-03-13,Friendly,Wales,5,England,3,Win,normal ending,True
90,1882-03-13,Friendly,England,3,Wales,5,Loss,normal ending,True
93,1882-03-25,Friendly,Scotland,5,Wales,0,Win,normal ending,True
94,1882-03-25,Friendly,Wales,0,Scotland,5,Loss,normal ending,True
97,1883-02-03,Friendly,England,5,Wales,0,Win,normal ending,True
98,1883-02-03,Friendly,Wales,0,England,5,Loss,normal ending,True
101,1883-02-24,Friendly,England,7,Northern Ireland,0,Win,normal ending,True
102,1883-02-24,Friendly,Northern Ireland,0,England,7,Loss,normal ending,True
105,1883-03-10,Friendly,England,2,Scotland,3,Loss,normal ending,True
106,1883-03-10,Friendly,Scotland,3,England,2,Win,normal ending,True
109,1883-03-12,Friendly,Wales,0,Scotland,3,Loss,normal ending,True
110,1883-03-12,Friendly,Scotland,3,Wales,0,Win,normal ending,True
113,1883-03-17,Friendly,Northern Ireland,1,Wales,1,Draw,normal ending,True
114,1883-03-17,Friendly,Wales,1,Northern Ireland,1,Draw,normal ending,True
117,1884-02-09,British Championship,Wales,6,Northern Ireland,0,Win,normal ending,True
118,1884-02-09,British Championship,Northern Ireland,0,Wales,6,Loss,normal ending,True
121,1884-02-23,British Championship,Northern Ireland,1,England,8,Loss,normal ending,True
122,1884-02-23,British Championship,England,8,Northern Ireland,1,Win,normal ending,True
125,1884-03-15,British Championship,Scotland,1,England,0,Win,normal ending,True
126,1884-03-15,British Championship,England,0,Scotland,1,Loss,normal ending,True
129,1884-03-17,British Championship,Wales,0,England,4,Loss,normal ending,True
130,1884-03-17,British Championship,England,4,Wales,0,Win,normal ending,True
133,1884-03-29,British Championship,Scotland,4,Wales,1,Win,normal ending,True
134,1884-03-29,British Championship,Wales,1,Scotland,4,Loss,normal ending,True
137,1885-02-28,British Championship,England,4,Northern Ireland,0,Win,normal ending,True
138,1885-02-28,British Championship,Northern Ireland,0,England,4,Loss,normal ending,True
141,1885-03-14,British Championship,England,1,Wales,1,Draw,normal ending,True
142,1885-03-14,British Championship,Wales,1,England,1,Draw,normal ending,True
145,1885-03-21,British Championship,England,1,Scotland,1,Draw,normal ending,True
146,1885-03-21,British Championship,Scotland,1,England,1,Draw,normal ending,True
149,1885-03-23,British Championship,Wales,1,Scotland,8,Loss,normal ending,True
150,1885-03-23,British Championship,Scotland,8,Wales,1,Win,normal ending,True
153,1885-04-11,British Championship,Northern Ireland,2,Wales,8,Loss,normal ending,True
154,1885-04-11,British Championship,Wales,8,Northern Ireland,2,Win,normal ending,True
157,1885-11-28,Friendly,United States,0,Canada,1,Loss,normal ending,True
158,1885-11-28,Friendly,Canada,1,United States,0,Win,normal ending,True
161,1886-02-27,British Championship,Wales,5,Northern Ireland,0,Win,normal ending,True
162,1886-02-27,British Championship,Northern Ireland,0,Wales,5,Loss,normal ending,True
165,1886-03-13,British Championship,Northern Ireland,1,England,6,Loss,normal ending,True
166,1886-03-13,British Championship,England,6,Northern Ireland,1,Win,normal ending,True
169,1886-03-27,British Championship,Scotland,1,England,1,Draw,normal ending,True
170,1886-03-27,British Championship,England,1,Scotland,1,Draw,normal ending,True
173,1886-03-29,British Championship,Wales,1,England,3,Loss,normal ending,True
174,1886-03-29,British Championship,England,3,Wales,1,Win,normal ending,True
177,1886-04-10,British Championship,Scotland,4,Wales,1,Win,normal ending,True
178,1886-04-10,British Championship,Wales,1,Scotland,4,Loss,normal ending,True
181,1886-11-25,Friendly,United States,3,Canada,2,Win,normal ending,True
182,1886-11-25,Friendly,Canada,2,United States,3,Loss,normal ending,True
185,1887-02-05,British Championship,England,7,Northern Ireland,0,Win,normal ending,True
186,1887-02-05,British Championship,Northern Ireland,0,England,7,Loss,normal ending,True
189,1887-02-26,British Championship,England,4,Wales,0,Win,normal ending,True
190,1887-02-26,British Championship,Wales,0,England,4,Loss,normal ending,True
193,1887-03-12,British Championship,Northern Ireland,4,Wales,1,Win,normal ending,True
194,1887-03-12,British Championship,Wales,1,Northern Ireland,4,Loss,normal ending,True
197,1887-03-19,British Championship,England,2,Scotland,3,Loss,normal ending,True
198,1887-03-19,British Championship,Scotland,3,England,2,Win,normal ending,True
201,1887-03-21,British Championship,Wales,0,Scotland,2,Loss,normal ending,True
202,1887-03-21,British Championship,Scotland,2,Wales,0,Win,normal ending,True
205,1888-02-04,British Championship,England,5,Wales,1,Win,normal ending,True
206,1888-02-04,British Championship,Wales,1,England,5,Loss,normal ending,True
209,1888-03-03,British Championship,Wales,11,Northern Ireland,0,Win,normal ending,True
210,1888-03-03,British Championship,Northern Ireland,0,Wales,11,Loss,normal ending,True
213,1888-03-10,British Championship,Scotland,5,Wales,1,Win,normal ending,True
214,1888-03-10,British Championship,Wales,1,Scotland,5,Loss,normal ending,True
217,1888-03-17,British Championship,Scotland,0,England,5,Loss,normal ending,True
218,1888-03-17,British Championship,England,5,Scotland,0,Win,normal ending,True
221,1888-04-07,British Championship,Northern Ireland,1,England,5,Loss,normal ending,True
222,1888-04-07,British Championship,England,5,Northern Ireland,1,Win,normal ending,True
225,1888-09-19,Friendly,Scotland,4,Canada,0,Win,normal ending,True
226,1888-09-19,Friendly,Canada,0,Scotland,4,Loss,normal ending,True
229,1889-02-23,British Championship,England,4,Wales,1,Win,normal ending,True
230,1889-02-23,British Championship,Wales,1,England,4,Loss,normal ending,True
233,1889-03-02,British Championship,England,6,Northern Ireland,1,Win,normal ending,True
234,1889-03-02,British Championship,Northern Ireland,1,England,6,Loss,normal ending,True
237,1889-04-13,British Championship,England,2,Scotland,3,Loss,normal ending,True
238,1889-04-13,British Championship,Scotland,3,England,2,Win,normal ending,True
241,1889-04-15,British Championship,Wales,0,Scotland,0,Draw,normal ending,True
242,1889-04-15,British Championship,Scotland,0,Wales,0,Draw,normal ending,True
