,Unnamed: 0,Date,Stage,Team,Home Goals,Team Against,Against Goals,Result,Win Conditions,Host Team
20,41,1879-01-18,Friendly,England,2,Wales,1,Win,normal ending,True
21,42,1879-01-18,Friendly,Wales,1,England,2,Loss,normal ending,True
28,57,1880-03-15,Friendly,Wales,2,England,3,Loss,normal ending,True
29,58,1880-03-15,Friendly,England,3,Wales,2,Win,normal ending,True
32,65,1881-02-26,Friendly,England,0,Wales,1,Loss,normal ending,True
33,66,1881-02-26,Friendly,Wales,1,England,0,Win,normal ending,True
44,89,1882-03-13,Friendly,Wales,5,England,3,Win,normal ending,True
45,90,1882-03-13,Friendly,England,3,Wales,5,Loss,normal ending,True
48,97,1883-02-03,Friendly,England,5,Wales,0,Win,normal ending,True
49,98,1883-02-03,Friendly,Wales,0,England,5,Loss,normal ending,True
64,129,1884-03-17,British Championship,Wales,0,England,4,Loss,normal ending,True
65,130,1884-03-17,British Championship,England,4,Wales,0,Win,normal ending,True
70,141,1885-03-14,British Championship,England,1,Wales,1,Draw,normal ending,True
71,142,1885-03-14,British Championship,Wales,1,England,1,Draw,normal ending,True
78,157,1885-11-28,Friendly,United States,0,Canada,1,Loss,normal ending,True
79,158,1885-11-28,Friendly,Canada,1,United States,0,Win,normal ending,True
86,173,1886-03-29,British Championship,Wales,1,England,3,Loss,normal ending,True
87,174,1886-03-29,British Championship,England,3,Wales,1,Win,normal ending,True
90,181,1886-11-25,Friendly,United States,3,Canada,2,Win,normal ending,True
91,182,1886-11-25,Friendly,Canada,2,United States,3,Loss,normal ending,True
94,189,1887-02-26,British Championship,England,4,Wales,0,Win,normal ending,True
95,190,1887-02-26,British Championship,Wales,0,England,4,Loss,normal ending,True
102,205,1888-02-04,British Championship,England,5,Wales,1,Win,normal ending,True
103,206,1888-02-04,British Championship,Wales,1,England,5,Loss,normal ending,True
114,229,1889-02-23,British Championship,England,4,Wales,1,Win,normal ending,True
115,230,1889-02-23,British Championship,Wales,1,England,4,Loss,normal ending,True
128,257,1890-03-15,British Championship,Wales,1,England,3,Loss,normal ending,True
129,258,1890-03-15,British Championship,England,3,Wales,1,Win,normal ending,True
136,273,1891-03-07,British Championship,England,4,Wales,1,Win,normal ending,True
137,274,1891-03-07,British Championship,Wales,1,England,4,Loss,normal ending,True
148,297,1892-03-05,British Championship,Wales,0,England,2,Loss,normal ending,True
149,298,1892-03-05,British Championship,England,2,Wales,0,Win,normal ending,True
156,313,1893-03-13,British Championship,England,6,Wales,0,Win,normal ending,True
157,314,1893-03-13,British Championship,Wales,0,England,6,Loss,normal ending,True
